,read_length_bp,sequences_split_libraries,observations_closed_ref_greengenes,observations_closed_ref_silva,observations_open_ref_greengenes,observations_deblur_90bp
1336,151,21270,14468,15484,19379,10196
1337,151,27607,16308,18105,24219,12165
1338,151,21171,13470,14747,18791,9935
1339,151,19983,12257,13666,17798,9067
1340,151,23221,16652,17621,21215,11735
1341,151,30006,19403,21327,27672,15781
1342,151,23484,16538,17736,22108,13301
1343,138,56610,46973,48802,56423,43856
1344,138,35616,30440,33020,35505,27145
1345,138,124412,93862,99748,122964,62153
1346,138,247005,198316,206968,243002,105865
1347,100,150105,144207,144599,149385,88760
1348,100,91517,75371,77929,90515,59191
1349,100,76217,51526,54304,75025,49104
1350,100,85587,82881,83234,85293,68841
1351,100,87312,67017,67599,86869,51088
1352,100,87193,81408,80655,86165,62859
1353,100,94213,63543,71349,93009,58802
1354,100,130517,106497,109505,129811,61123
1355,100,60366,50493,51828,60011,30259
1356,100,125901,105136,108336,125355,63904
1357,100,173420,149196,154107,172529,84155
1358,100,36703,30089,31882,36495,18636
1359,100,193986,155984,161591,192390,88916
1360,100,210735,169174,174105,209561,97222
1361,100,80882,66996,69438,80212,40514
1362,151,93159,62774,66141,87370,50381
1363,151,31830,23898,24291,27988,15330
1364,151,65352,17840,18171,28341,12422
1365,151,35261,31495,31673,33425,23998
1366,151,69100,40066,40238,46595,29707
1367,151,69897,29486,29859,39422,20367
1368,151,49826,42404,42979,47674,32379
1369,151,56150,44342,44920,49811,30970
1370,151,59579,27396,28753,43129,19513
1371,151,34683,21923,22288,26554,18653
1372,151,52351,11917,12016,19164,7669
1373,151,257544,116264,117818,157813,77442
1374,151,49362,34461,36135,43610,25130
1375,151,77776,46571,47375,67752,32346
1376,151,36384,31812,32410,34231,23806
1377,151,55333,44757,47128,53361,37723
1378,151,49836,12285,12578,18220,8487
1379,151,72476,64753,64879,68739,48352
1380,151,50704,40716,42006,47911,35551
1381,151,22571,15559,15165,20319,12914
1382,151,57828,36628,36622,55218,40109
1383,151,22604,10518,10959,13697,7771
1384,151,112479,35009,32166,58507,26889
1385,151,76231,54999,52419,71954,44058
1386,151,21507,12816,13473,18042,11464
1387,151,43410,30590,31579,40438,24625
1388,151,24301,11331,11934,15240,9197
1389,151,33983,23820,24501,29023,17282
1390,151,85264,69436,69823,80650,50654
1391,151,86303,64381,65571,79849,44628
1392,151,61574,41929,43476,55772,33839
1393,151,83294,59823,61421,78854,49888
1394,151,44784,25887,28976,36338,20717
1395,151,54006,41772,42728,51393,31569
1396,151,61435,42072,43629,55729,33445
1397,151,70386,43395,45368,57826,34291
1398,151,38948,28291,28901,34388,20856
1399,151,59207,43718,46712,55846,35706
1400,151,71188,52943,50242,67074,40488
1401,151,71027,53182,49383,67203,41715
1402,151,65566,45255,43462,57379,34738
1403,151,119039,76454,72821,97171,57184
1404,151,40701,29003,30116,37045,20490
1405,151,66838,33001,31409,43824,24008
1406,151,46158,37692,37031,43197,28405
1407,151,41951,26956,26090,33408,19911
1408,151,91127,70042,67886,86411,52243
1409,151,63669,45606,43031,56610,33199
1410,151,31920,20057,20468,24388,14381
1411,151,71469,52671,55039,65858,34370
1412,151,62726,47855,49277,57975,31609
1413,151,91370,15827,16116,29849,10340
1414,151,72753,34349,35035,42426,22308
1415,151,60863,47296,49730,57798,37841
1416,151,46739,35979,36975,41759,25266
1417,151,83641,49514,51616,75972,33975
1418,151,59504,44822,44830,52866,30377
1419,151,40634,29224,30463,38467,21488
1420,151,82268,69619,70284,77723,50755
1421,151,18869,12174,12355,13422,9121
1422,151,41727,38467,38532,40246,31821
1423,151,99248,45773,47446,82101,54526
1424,151,17249,11118,11651,14843,7874
1425,151,20961,13430,14691,17348,9088
1426,151,33820,20191,21058,24076,15798
1427,151,53811,43506,43700,51202,35310
1428,151,50656,33834,34835,40824,29450
1429,151,64245,33121,35352,57230,39700
1430,151,62625,50357,51339,58247,35567
1431,151,47160,39816,39953,45438,34082
1432,151,35730,26705,27566,33287,20240
1433,151,86888,72542,72223,82572,52903
1434,151,25891,17241,17470,19251,13089
1435,151,80948,48109,47775,57909,35807
1436,151,65635,54277,54021,62243,39793
1437,151,45902,41727,29897,44638,33367
1438,151,47172,35370,36046,42083,28117
1439,151,67417,54066,55261,63348,42649
1440,151,85483,27643,27525,80147,58215
1441,100,234646,216897,217635,232778,143436
1442,100,108079,102493,103230,105931,60400
1443,100,85482,70510,71164,75343,40926
1444,100,42829,21822,22030,26678,14927
1445,100,72697,23262,23086,29358,17028
1446,100,66236,40955,41243,46136,26650
1447,100,71416,34627,34963,41365,23962
1448,100,63680,21923,22058,29610,14493
1449,100,101121,68291,68763,74248,42092
1450,100,129305,75307,76092,81745,56322
1451,100,163364,41493,41979,47097,28267
1452,100,200282,88464,88855,95530,57975
1453,100,97572,60675,61027,64541,40857
1454,100,157505,48986,49364,80731,34767
1455,100,168452,134598,135334,162304,81494
1456,100,92930,75497,76118,80426,44107
1457,100,56421,34887,35022,52581,22217
1458,100,32784,30208,30276,32317,21921
1459,100,94288,91069,91560,93765,58055
1460,100,40823,35493,35727,36581,23461
1461,100,137541,130855,131536,136034,79343
1462,100,118321,108259,109273,117071,72725
1463,100,95936,85553,86434,94835,60807
1464,100,292915,273794,275633,290833,179303
1465,100,121844,118135,118613,121222,80519
1466,100,88690,85196,85385,88246,57251
1467,100,128011,123753,124072,127372,80996
1468,100,146519,133456,134332,145465,90883
1469,100,50148,49120,49161,49912,34204
1470,141,29063,18001,19432,27317,14925
1471,141,25532,11489,13115,24883,12968
1472,141,32617,28921,29181,32221,17002
1473,141,26012,11777,14182,25575,13076
1474,141,40516,33896,34502,39879,22801
1475,141,38424,25663,26889,37808,20330
1476,141,70587,47544,55163,69782,46263
1477,141,27574,26093,26213,27399,18458
1478,141,49841,11643,11983,48982,31415
1479,141,57493,20684,21815,56570,36044
1480,141,79237,28145,31941,78155,49077
1481,141,47044,36651,37814,45171,28145
1482,141,72544,25112,27791,71158,43055
1483,141,31307,14186,16202,30818,16325
1484,141,80807,24381,27150,78709,43314
1485,141,55007,22463,26023,53953,32314
1486,141,62163,21810,22480,61350,39491
1487,141,38256,15057,16521,37576,21184
1488,141,49885,29428,31329,49260,31478
1489,141,35681,19916,21232,35170,17010
1490,141,36782,24763,25983,36105,19820
1491,141,32499,29789,29787,32251,22501
1492,141,64419,24982,28909,63624,40108
1493,141,79183,31236,32444,77869,48061
1494,141,32200,24134,25002,31726,19255
1495,141,46342,17997,19775,45566,27574
1496,141,31205,29720,29817,30982,21672
1497,141,33337,29262,29794,33048,21823
1498,141,206437,110571,113914,204545,130239
1499,141,194446,104189,109054,191586,117263
1500,141,160394,95050,104826,158215,86451
1501,141,149372,138972,139735,148095,99934
1502,141,149307,123498,125366,147647,92913
1503,141,142621,70871,81601,140759,74043
1504,141,159032,102076,110381,157009,91492
1505,141,133110,66839,72310,130333,67352
1506,141,145377,69188,77466,141783,75156
1507,141,151320,130522,132708,148570,95903
1508,141,37826,30254,31043,36964,20879
1509,141,147351,40458,46852,145759,79486
1510,141,25820,24399,24509,25639,17472
1511,141,31424,15041,17095,30963,16010
1512,141,115392,94594,96375,114266,72296
1513,141,170999,111077,117898,169023,94922
1514,141,141816,84126,94160,129187,72590
1515,141,34521,31835,32033,34236,23209
1516,141,30894,20055,21509,30488,17366
1517,141,36387,33084,33426,36022,24143
1518,141,36761,31470,32203,36396,23512
1519,141,31734,22806,23875,31235,18197
1520,141,72250,31161,32544,71412,45890
1521,141,45414,15445,16555,43971,19098
1522,141,49124,27545,29335,48091,26461
1523,141,34350,30045,30083,33894,20783
1524,141,33110,28252,28675,32683,21049
1525,141,35287,17426,18715,34124,13463
1526,141,31362,19475,20047,30474,14017
1527,141,29453,13758,15388,28668,12996
1528,141,59288,42246,45474,58357,36780
1529,141,29948,16858,18427,29537,16012
1530,141,38807,24069,26034,37993,19747
1531,141,37447,19982,21325,36332,16424
1532,141,42372,18427,20026,40860,16540
1533,141,65199,34909,37736,64450,40785
1534,141,28195,14508,16512,27607,14028
1535,141,60604,45291,45813,59984,37883
1536,141,37458,33760,34043,37095,19383
1537,141,24838,11082,13032,24444,11900
1538,141,44180,26098,27831,42197,19344
1539,141,28511,13526,15856,28109,14527
1540,141,34492,17825,19786,33748,17901
1541,100,42330,37626,38219,41632,21412
1542,100,58051,52101,53381,57260,34725
1543,100,50027,40707,41866,48164,26242
1544,100,26217,20577,20669,24275,12543
1545,100,21800,19971,20248,21568,12013
1546,100,32156,29851,30054,31947,20221
1547,100,47069,43958,44206,46648,26038
1548,100,65520,61845,62213,64886,39636
1549,100,27168,22505,22898,25609,11749
1550,100,30930,29455,29596,30643,18107
1551,100,68380,60721,61987,65939,34935
1552,100,22644,20415,20701,22203,12561
1553,100,32743,31392,31541,32468,21816
1554,100,30810,24221,24453,29064,16482
1555,100,40026,36248,37410,39539,23704
1556,100,73106,67108,67712,71649,42923
1557,100,34354,30535,31230,33601,15686
1558,100,61551,59640,59643,61228,44687
1559,100,42355,38603,39069,42000,24517
1560,100,38097,36733,36873,37945,23094
1561,100,42478,37240,38224,41460,19317
1562,100,61143,57112,58709,60715,38661
1563,100,32947,30923,31136,32420,19798
1564,100,44540,40983,41496,44145,25783
1565,100,35409,32080,32362,34653,20335
1566,100,44583,39982,40529,43323,23740
1567,100,76010,68930,69596,72825,47703
1568,100,32422,29952,30203,32067,19052
1569,100,25732,23240,23592,25349,13848
1570,100,36259,30161,32012,35873,21461
1571,100,54819,52002,52501,54493,33347
1572,100,33033,31421,31576,32848,21428
1573,100,40646,37741,38406,40212,22355
1574,100,22695,19508,19746,22479,12391
1575,100,32904,30653,30792,32262,21914
1576,100,25373,24574,24681,25260,16652
1577,100,40080,37520,37827,39691,23315
1578,138,100363,65223,70384,95147,43405
1579,138,77105,44100,47787,74072,32657
1580,138,107147,70217,74571,102457,41686
1581,138,79648,54645,58190,77412,39184
1582,138,136244,75746,82931,128663,62888
1583,138,150310,99494,106510,144049,66301
1584,138,41108,28559,29058,40525,23583
1585,138,116504,69879,74840,111349,58727
1586,138,140211,110163,113508,135127,64750
1587,138,104741,65570,71309,97916,41358
1588,138,96699,83856,85761,95392,52987
1589,138,118455,78976,84147,111651,45604
1590,138,230249,164704,174874,219388,99781
1591,138,250875,155714,159605,246343,124731
1592,138,102921,62096,66037,98514,47225
1593,138,73896,50876,53823,70508,30525
1594,138,96354,60278,64801,94326,44836
1595,138,81027,57293,60837,77685,33814
1596,138,89026,62625,66048,85578,34780
1597,138,240452,133626,144606,226143,93279
1598,138,116423,57481,65050,109494,54722
1599,138,94777,52638,56819,92578,44576
1600,138,83933,61582,64759,82497,46171
1601,138,112373,74474,79173,108750,48075
1602,138,148069,101620,108295,142483,68894
1603,138,97033,63512,68121,92878,42566
1604,138,81624,67906,71711,79895,44289
1605,138,118498,69225,72212,112052,47194
1606,138,241930,98353,106275,224108,93556
1607,138,89957,55869,58924,88136,43886
1608,138,92186,49007,54592,86645,44106
1609,138,107237,72104,76125,104661,51571
1610,138,108073,60316,67495,102745,50567
1611,138,144147,98204,104220,138141,62314
1612,138,115570,69205,73845,110005,53575
1613,138,83966,46862,51801,79856,41048
1614,138,105577,70099,73976,102382,44919
1615,138,126944,85944,92424,121856,52933
1616,138,101941,84008,85392,100239,55773
1617,138,111886,79553,81548,107502,50375
1618,138,72703,60135,62858,71485,38725
1619,138,173795,119616,128395,165041,72080
1620,138,108647,91309,92367,106952,58889
1621,138,101106,50476,52844,97346,42727
1622,138,76123,45298,47200,73776,35208
1623,138,99648,64695,67522,97822,52660
1624,138,98192,64770,67675,95468,51830
1625,138,65797,47090,49534,65056,44104
1626,138,98043,65686,70933,94295,41964
1627,138,88078,57987,61965,83199,38617
1628,138,121827,69110,75597,115519,55695
1629,138,138688,89754,95530,133366,55074
1630,138,113149,75111,81021,108876,46066
1631,138,74076,49817,53373,73073,39085
1632,138,103491,55488,60840,97498,47822
1633,138,111238,73064,77579,107451,46026
1634,138,128498,80924,85783,123929,55206
1635,138,139979,94502,100695,133734,60593
1636,138,76335,62087,64560,75060,40406
1637,138,78947,65564,69148,77345,42623
1638,138,123893,81056,86662,116949,50258
1639,138,79026,51885,58949,77057,42036
1640,138,59369,35387,38887,57222,28850
1641,138,86868,54787,57413,85705,47958
1642,138,82497,49577,54240,79643,41095
1643,138,83101,46090,51735,79329,39068
1644,138,82179,56448,59887,78733,34603
1645,138,121471,66637,68527,116204,57192
1646,138,81616,57414,59974,79563,40097
1647,138,106840,76048,77128,105493,62947
1648,138,113437,68847,74960,106786,48231
1649,138,35493,27088,27783,34889,20510
1650,138,79152,63717,64458,78116,44084
1651,138,82922,71068,72821,81748,45371
1652,138,78976,57587,60146,74492,33714
1653,138,95399,68597,72260,90510,42057
1654,138,69544,49247,50484,66613,29995
1655,138,98323,65787,69627,91600,41085
1656,138,95082,66756,69590,93503,49874
1657,138,110600,54436,60911,104183,52817
1658,138,75337,42050,43385,74167,40562
1659,138,95490,53063,58076,90266,45550
1660,138,111997,62489,68998,106158,54009
1661,138,102994,76573,79643,100446,48268
1662,138,121127,89800,94439,118366,69056
1663,138,132838,99906,101780,131234,77607
1664,138,92237,68071,72154,89226,44039
1665,138,134056,90972,97538,127630,57812
1666,138,127752,86445,92156,126314,77249
1667,138,103096,61217,65662,99665,53426
1668,138,89485,57277,62291,87945,45536
1669,138,150362,105669,111128,144552,59380
1670,138,90027,59613,64231,86564,39945
1671,138,88518,64871,65904,87455,55429
1672,138,63140,49893,52148,61322,34857
1673,138,76434,57856,60130,73634,33147
1674,138,68757,59761,60990,67830,37483
1675,138,73709,48600,51048,71794,35575
1676,138,104551,68729,73530,97967,41459
1677,138,78359,50296,54189,74623,35478
1678,138,70439,53039,54278,69202,38396
1679,138,109324,71649,76269,104665,45699
1680,138,91996,60421,65166,88829,44225
1681,138,123209,68616,74878,116206,59274
1682,138,135991,93980,100224,130680,60151
1683,138,109491,73235,78814,105142,46660
1684,151,36016,25803,26362,34249,22401
1685,151,32299,26867,27730,30892,17518
1686,151,30410,25424,25952,28727,18052
1687,151,29397,23656,23635,28273,17787
1688,151,31252,25948,26884,29526,18410
1689,151,34205,28684,29181,32212,19362
1690,151,24932,20969,21769,23830,14803
1691,151,30075,23825,24194,28565,17713
1692,151,24196,20544,20894,22893,14919
1693,151,30602,26332,26850,29059,18676
1694,151,29707,22570,24546,28216,16449
1695,151,29357,24175,24822,27734,15987
1696,151,27375,22391,24025,26125,16601
1697,151,32676,24541,24941,30388,16621
1698,151,24788,14868,15120,18678,9912
1699,151,39415,15696,16052,25177,13564
1700,151,31204,20949,21394,28728,17228
1701,151,29573,20036,20786,26483,16714
1702,151,30590,23508,23946,29222,16081
1703,151,29764,23947,24591,28547,18742
1704,151,21717,16930,17124,20190,11213
1705,151,105308,102548,102818,105117,70587
1706,151,49094,47539,47574,48965,39532
1707,151,71037,66714,67469,70603,45933
1708,151,97424,94175,94302,97067,63254
1709,151,60166,58451,58288,60009,34424
1710,151,54153,53479,53545,54107,46311
1711,151,141603,128517,130660,139679,81167
1712,151,113147,106390,106972,112455,71571
1713,151,111780,102734,104205,110518,73023
1714,151,113835,106527,105320,113251,80035
1715,151,82289,76593,77409,81808,37415
1716,151,97606,94841,94487,97423,40450
1717,151,82893,81565,81136,82796,30173
1718,151,116366,112825,113370,116140,81766
1719,151,91878,86297,87447,91155,51962
1720,151,53126,51772,52020,53021,41276
1721,151,60158,58766,58807,60033,34597
1722,151,62679,61389,61856,62581,49630
1723,151,54056,52115,51934,53944,23926
1724,151,66075,64066,62094,65915,37652
1725,151,70002,67751,67859,69814,44819
1726,151,72876,69661,69769,72458,50194
1727,151,106931,98660,99213,106207,56750
1728,151,104656,100474,100874,104373,66775
1729,151,96855,94783,95368,96693,73270
1730,151,109601,105948,105283,109177,62672
1731,151,61514,54202,55315,60580,32452
1732,151,79111,77788,78344,78981,65682
1733,151,51130,47208,47656,50853,22727
1734,151,70967,67942,68195,70792,53747
1735,151,39915,36285,37567,39660,26452
1736,151,20173,17589,18347,19974,12077
1737,151,56111,48617,53133,55772,35538
1738,151,93951,80588,83297,92330,44596
1739,151,69804,68445,68196,69656,27824
1740,151,94055,92301,92462,93807,64439
1741,151,86235,84009,84360,86006,58650
1742,151,88706,85817,86399,88161,49743
1743,151,81631,80229,80046,81423,38173
1744,151,78130,76478,76664,77914,43668
1745,151,74876,72209,72349,74648,49826
1746,151,70071,67060,67338,69763,40818
1747,151,62699,61576,61534,62578,33068
1748,151,78898,77918,78429,78783,63289
1749,151,101405,98664,98976,101231,51558
1750,151,136742,133538,133665,136240,106996
1751,151,72341,70315,70978,72145,51509
1752,151,70609,67474,68048,70329,46392
1753,151,87604,82057,82514,87255,37669
1754,151,81050,78515,78411,80698,46894
1755,151,70424,68856,68775,70240,47067
1756,151,82858,79318,79054,82510,43538
1757,151,72726,67492,52184,72162,47605
1758,151,54395,46516,46861,54083,24125
1759,151,63185,53907,56239,62162,31651
1760,151,80795,77652,77996,80521,45035
1761,151,80870,79838,79240,80727,58726
1762,151,84372,78690,78538,84071,36694
1763,145,90651,32679,32901,90295,74123
1764,145,87114,56704,54519,86278,66301
1765,145,100926,36992,44343,99504,68805
1766,145,80061,40235,47625,78621,46924
1767,145,55606,22223,28407,55208,34815
1768,145,99265,41066,46347,98364,59176
1769,145,96625,44733,41449,95838,61995
1770,145,102771,61883,64592,102127,71818
1771,145,83245,35537,41007,82790,55755
1772,145,56184,37316,35630,55853,39027
1773,145,86134,48644,58404,85269,53174
1774,145,134316,76636,91462,133627,87175
1775,145,66972,31479,30820,66603,45552
1776,145,86025,52048,62529,85209,55521
1777,145,105401,59169,69626,104001,62275
1778,145,84481,51621,58113,83239,49964
1779,145,111300,56562,61191,110377,69332
1780,145,107067,59885,54203,106206,66888
1781,145,64115,27058,33061,63746,43043
1782,145,78291,39110,46046,77391,48196
1783,145,85969,45018,53048,85276,53973
1784,145,92258,42143,45077,91602,58637
1785,145,97552,71623,72479,96922,62713
1786,145,118289,48891,68895,117395,75972
1787,145,73382,26446,38603,72771,45168
1788,145,73540,39778,45445,73088,47354
1789,145,119574,76786,82743,118448,73108
1790,145,110429,70583,66917,109546,70051
1791,145,108479,71316,68569,107512,67294
1792,145,100451,63261,67273,98502,60370
1793,145,108352,73163,81302,106891,63994
1794,145,51840,24849,29337,49506,26576
1795,145,118281,64707,62743,117215,75078
1796,145,97424,61472,68631,95326,58025
1797,145,94937,42709,50142,93200,56845
1798,145,96825,54383,63752,94365,56557
1799,145,96556,56334,60981,95574,64368
1800,145,92746,32340,34651,92084,63247
1801,145,99534,43426,49322,97572,55638
1802,145,115305,32562,63939,114132,76005
1803,145,95773,42092,39799,95251,65016
1804,145,99243,66268,68606,98224,58870
1805,145,69784,33537,44469,69091,42917
1806,145,56302,30323,33513,55823,36948
1807,145,94574,53814,59391,93149,57253
1808,145,72264,33938,36049,71557,45401
1809,145,62566,27349,39437,62139,42699
1810,145,75541,45303,51499,75202,57812
1811,145,60830,25334,28961,60181,39171
1812,145,139135,95350,99192,136409,76000
1813,145,101570,72724,79123,100744,69629
1814,145,110463,69019,77485,109498,72967
1815,145,89317,50850,65455,88668,56445
1816,145,77587,44265,49267,76787,49737
1817,145,110579,67787,90200,109475,72432
1818,145,72922,57114,58229,72574,57030
1819,145,53910,22505,25991,53176,31685
1820,145,70908,44801,49825,70411,49530
1821,145,47794,21281,20301,47492,34181
1822,145,69216,28947,35981,68709,44509
1823,145,75172,29883,42792,73879,44866
1824,145,87901,49019,55323,86833,52738
1825,145,54965,29544,26044,54544,36035
1826,145,100331,44755,52833,98100,57826
1827,100,107766,43552,43735,101296,39651
1828,100,142321,136401,136723,141566,105716
1829,100,44285,13977,13982,41181,10680
1830,100,174243,147487,147836,169897,109539
1831,100,157495,136594,137228,148516,102404
1832,100,145105,139347,139643,144199,100213
1833,100,134329,107599,107786,122489,82534
1834,100,327784,210555,220715,323086,169662
1835,100,110729,50182,55010,101634,39090
1836,100,263234,94217,94314,208620,66999
1837,100,100369,66570,70584,96673,49193
1838,100,47783,46216,46222,47209,36102
1839,100,281695,263550,264381,279625,211707
1840,100,369543,358394,358535,365488,271036
1841,150,217182,215906,215173,217055,154289
1842,150,127538,127207,127131,127484,105195
1843,150,211322,210094,209328,211204,146623
1844,150,126173,125806,125673,126132,103064
1845,150,74196,52291,55597,73223,37502
1846,150,143154,141708,141206,143043,94306
1847,150,129822,129397,129283,129771,105213
1848,150,492866,357022,379238,488605,287461
1849,150,220977,219537,218676,220846,152041
1850,150,129051,128509,128350,128990,102204
1851,150,106541,78509,85134,104720,54601
1852,150,113923,113577,113482,113864,92799
1853,150,203582,202181,201389,203481,141770
1854,150,232317,230061,228630,232193,137683
1855,150,117915,117407,117269,117867,95049
1856,150,259505,181391,204356,257404,154792
1857,150,187136,186011,185271,187048,128339
1858,150,96645,96411,96344,96609,79109
1859,150,105485,79091,84680,103902,54332
1860,150,63117,44269,47159,62191,33545
1861,150,204247,203180,202558,204148,147440
1862,150,128881,128519,128430,128828,106557
1863,150,272688,204488,220889,270578,162095
1864,150,94511,70344,75690,93065,46941
1865,150,84150,56351,61441,82932,46860
1866,150,108447,107837,107460,108388,78112
1867,150,138902,138137,138038,138797,113466
1868,150,106748,80531,86330,104837,51772
1869,150,209191,208037,207398,209064,152677
1870,150,102123,101768,101648,102071,82094
1871,150,108526,81628,87120,106696,53086
1872,150,125614,124695,124602,125496,100118
1873,150,67092,49800,53307,66110,35418
1874,150,90905,65936,70603,89404,47889
1875,150,114694,113986,113590,114644,80935
1876,150,118597,118124,118066,118504,97718
1877,150,112503,80797,88171,110665,57626
1878,150,75372,56106,58510,74290,41186
1879,150,238943,237500,236558,238830,164926
1880,150,106861,106562,106495,106818,87788
1881,150,269094,204040,221456,266994,158104
1882,150,93871,69486,74049,92562,51655
1883,150,94814,69705,73325,92817,45208
1884,150,198576,196682,195635,198438,129113
1885,150,87979,63514,67247,86600,48649
1886,150,276981,275074,273746,276779,180260
1887,150,117530,116277,116154,117444,93363
1888,150,117605,81595,93068,116637,69806
1889,150,137551,137060,136958,137483,112951
1890,150,228566,226627,225988,228276,162325
1891,150,127728,126975,126895,127656,103757
1892,150,350485,262994,289731,347606,202879
1893,150,113022,82571,89715,111194,56916
1894,150,86400,62409,65850,84877,46213
1895,150,115061,114461,114171,115007,85541
1896,150,130337,129930,129873,130271,106304
1897,150,72090,55498,58638,70605,34636
1898,150,105825,105297,105023,105775,79219
1899,150,111866,111557,111483,111815,92283
1900,150,126062,125402,125000,126005,91974
1901,150,131359,131022,130961,131294,109420
1902,150,67384,51383,54816,66230,33760
1903,150,231855,230489,229759,231740,169770
1904,150,111242,110795,110479,111176,84764
1905,150,202549,201443,200841,202449,147494
1906,150,98884,98493,98424,98836,82638
1907,150,82869,60541,64976,81628,43713
1908,150,158541,124305,129362,157119,91318
1909,150,126169,125468,124926,126123,86274
1910,150,135236,134798,134704,135175,110579
1911,150,118926,88819,95302,117564,64255
1912,150,101924,74775,79314,99812,51285
1913,150,168635,167571,167069,168549,123379
1914,150,139125,138677,138572,139068,115636
1915,150,94046,70451,74695,92280,48283
1916,150,91353,66398,71055,89392,49827
1917,150,232737,231415,230554,232627,163969
1918,150,111730,111092,111028,111658,93030
1919,150,95452,70691,76604,94094,53606
1920,150,85866,64621,68238,84146,48531
1921,150,111983,111382,111005,111929,79435
1922,150,144847,143575,143491,144722,119122
1923,150,116516,86688,95079,115379,68127
1924,150,115025,81730,87963,112631,61156
1925,150,124575,123815,123333,124520,85875
1926,150,88836,88556,88480,88778,73482
1927,150,47618,34765,36967,46788,24231
1928,150,96436,68867,74227,94717,55943
1929,150,90807,63995,69573,89436,50002
1930,150,104523,104041,103709,104483,75960
1931,150,132498,132165,132122,132439,112053
1932,150,80082,59148,62944,78893,43581
1933,150,93214,68158,72295,91446,49597
1934,150,160412,159370,158695,160331,107942
1935,150,125452,125054,124976,125400,104590
1936,150,92122,63380,68008,89883,48813
1937,150,122993,122656,122528,122948,100899
1938,150,124004,122982,122488,123893,84086
1939,150,97455,96422,96396,97348,81478
1940,150,168152,167575,167488,168070,138789
1941,150,169795,168412,167703,169691,115174
1942,150,128038,127716,127702,127983,109364
1943,150,78029,50220,55596,76750,43908
1944,150,177769,176260,175677,177658,123859
1945,150,143205,142751,142685,143124,119748
1946,150,105611,77946,83629,104549,61520
1947,150,109339,108475,108136,109281,77000
1948,150,53609,53365,53342,53584,45199
1949,150,120290,85465,91663,118658,68565
1950,150,233333,232054,231141,233244,162903
1951,150,112087,111643,111576,112029,92933
1952,150,85576,62916,67166,84325,46744
1953,150,67156,48837,54718,66598,41167
1954,150,110061,81058,86278,108451,62805
1955,150,110099,109478,109152,110031,80105
1956,150,132931,132551,132470,132878,111668
1957,150,112422,82094,87785,110784,62718
1958,150,82157,65346,67471,80673,43290
1959,150,115187,114271,113985,115130,83530
1960,150,133862,132557,132614,133722,109240
1961,150,93518,69901,74228,92028,50570
1962,150,113845,113022,112685,113773,83083
1963,150,123518,123122,123073,123459,103942
1964,150,130848,129617,129240,130780,92275
1965,150,142225,141836,141790,142162,119453
1966,150,99940,70630,76608,98588,57469
1967,150,97146,71524,78768,96413,58870
1968,150,212792,210411,210368,212664,176455
1969,150,231303,226440,227717,231150,153000
1970,150,258026,232327,232709,257397,177798
1971,150,231726,211183,227755,231545,149114
1972,150,568818,448904,474545,559095,269254
1973,150,230737,225582,225596,230561,187910
1974,150,180490,179503,178989,180410,131374
1975,150,498118,365302,396620,493967,295829
1976,150,565383,459452,482456,556631,275980
1977,150,233431,232392,232325,233249,196678
1978,150,200184,197527,197166,200050,140903
1979,150,245406,227239,227328,245039,183805
1980,150,184764,183281,182705,184657,128824
1981,150,222694,221272,220434,222600,153487
1982,150,139606,139257,139174,139545,115994
1983,150,279587,196958,222916,277686,174497
1984,150,79664,56813,65060,78866,47376
1985,150,137295,136561,136151,137233,101210
1986,150,107005,106666,106594,106959,88713
1987,150,113238,112592,112280,113176,82740
1988,150,49140,48986,48951,49124,41000
1989,150,178640,177998,177946,178510,148686
1990,150,119625,88039,94432,117587,67135
1991,150,138898,138172,137693,138835,99720
1992,150,82060,81811,81782,82021,69658
1993,150,92772,68217,74447,91948,53679
1994,150,127573,92056,102378,126482,74997
1995,150,125047,124344,123968,124983,90850
1996,150,138753,138268,138165,138702,115902
1997,150,345657,243403,272832,342881,204706
1998,150,89747,62332,70308,88986,53892
1999,150,92336,66419,71897,90693,50070
